"HOUR_I_R","ALCHL_I","ALIGN_I","STRATUM_R","WRK_ZONE","WKDY_I_R","INT_HWY","LGTCON_I_R","MANCOL_I_R","PED_ACC_R","RELJCT_I_R","REL_RWY_R","PROFIL_I_R","SPD_LIM","SUR_COND","TRAF_CON_R","TRAF_WAY","WEATHER_R","INJURY"
0,2,1,0,0,1,0,3,2,0,1,1,0,25,4,0,1,2,0
1,2,1,0,0,1,0,3,2,0,1,1,0,25,4,2,1,2,0
0,2,1,0,0,1,0,3,2,0,1,1,0,45,4,1,1,2,1
0,2,1,0,0,1,0,3,0,0,1,0,0,25,4,0,1,2,0
0,2,1,0,0,1,0,3,0,0,1,0,0,45,4,2,1,2,0
0,2,1,0,0,1,1,3,2,0,1,1,1,60,3,0,2,2,0
1,2,1,1,0,1,1,3,2,0,0,1,1,65,3,0,2,1,1
0,2,1,0,0,1,0,3,2,0,1,1,1,45,3,0,1,1,0
0,2,1,0,0,0,0,3,2,0,1,1,0,25,3,2,2,2,0
1,2,1,0,0,1,1,3,2,0,0,1,0,65,3,0,2,2,0
0,2,1,0,0,1,1,3,2,0,0,1,0,60,3,0,2,2,1
0,2,1,1,0,1,1,3,0,0,0,0,0,55,3,0,2,2,1
0,2,1,1,0,0,0,3,1,0,1,1,0,45,3,1,2,2,1
0,2,1,1,0,0,9,3,0,0,0,0,0,55,3,0,2,2,1
0,1,1,0,0,1,0,3,2,0,1,1,0,25,3,1,2,2,1
1,2,1,1,0,1,0,3,0,0,0,0,0,65,3,0,2,1,0
0,2,1,1,0,0,0,3,2,0,1,1,0,40,3,1,1,2,1
0,2,1,0,0,1,0,3,0,0,1,0,0,40,3,1,1,2,0
0,2,1,1,0,0,0,3,0,0,1,0,0,30,3,0,1,2,0
1,2,1,0,0,1,0,3,2,0,1,1,0,25,3,0,1,2,0
0,1,1,1,0,0,0,3,0,0,1,0,0,30,3,0,1,2,0
0,2,1,1,0,1,0,3,2,0,1,1,1,60,2,1,3,2,0
0,2,1,0,0,1,1,3,2,0,0,1,1,65,2,0,2,2,1
0,2,2,1,0,1,1,3,0,0,0,0,1,55,2,0,2,2,1
0,2,1,1,0,1,0,3,0,0,1,0,1,50,2,0,2,2,0
0,2,1,1,0,1,0,3,2,0,0,1,1,35,2,0,1,2,1
0,2,1,0,0,0,0,3,2,0,0,1,1,30,2,0,1,1,0
0,2,1,1,0,1,0,3,2,0,1,1,1,35,2,0,1,1,1
0,2,1,0,0,1,0,3,0,0,0,0,1,30,2,0,1,2,0
0,1,1,1,0,0,0,3,0,0,0,0,1,30,2,0,3,2,0
0,2,1,1,0,1,0,3,0,0,0,0,1,40,2,0,3,1,0
0,2,1,0,0,0,0,3,2,0,1,1,1,45,2,2,3,1,1
0,2,2,1,0,1,0,3,0,0,1,0,1,45,2,2,3,1,0
1,2,2,1,0,1,0,3,2,0,1,1,1,50,2,0,2,1,0
1,2,1,0,0,1,1,3,2,0,0,1,1,55,2,0,2,2,0
0,2,1,1,0,1,0,3,2,0,1,1,1,40,2,1,2,2,0
0,2,1,1,0,1,0,3,0,0,0,0,1,30,2,0,2,1,0
1,2,1,0,0,1,1,3,2,0,0,1,1,60,2,0,2,2,0
0,2,1,1,0,1,1,3,2,0,0,1,1,65,2,0,2,2,1
1,2,1,0,0,0,0,3,2,0,1,1,1,35,2,0,2,1,0
0,2,1,1,0,0,1,3,2,0,0,1,1,60,2,0,2,2,1
1,2,1,1,0,1,1,3,2,0,0,1,1,60,2,0,2,2,0
0,1,1,0,0,1,1,3,2,0,0,1,1,65,2,0,2,2,1
0,2,1,1,0,1,1,3,0,0,1,0,1,60,2,0,2,2,0
1,2,1,0,0,1,0,3,2,0,1,1,1,35,2,1,2,2,0
1,2,1,1,0,0,0,3,2,0,1,1,1,40,2,0,2,2,1
1,2,1,0,0,1,0,3,2,0,0,1,1,45,2,0,2,2,1
1,2,1,0,0,1,0,3,0,1,0,1,1,20,2,0,2,2,1
0,2,2,0,0,0,0,3,0,0,0,0,1,50,2,0,2,2,0
0,2,1,0,0,1,0,3,2,0,0,1,1,50,2,0,2,1,0
1,2,1,0,0,1,0,3,2,0,1,1,1,30,2,0,2,2,1
0,1,1,0,0,1,1,3,2,0,0,1,1,55,2,0,2,2,0
0,2,1,1,0,1,0,3,2,0,0,1,1,55,2,0,2,2,0
0,2,2,1,0,1,0,3,0,0,0,0,1,45,2,0,2,2,1
1,2,1,1,0,1,0,3,0,0,0,0,1,45,2,0,2,2,0
1,2,1,0,0,1,0,3,2,0,0,1,1,50,2,2,1,2,0
0,1,1,1,0,1,0,3,2,0,1,1,1,35,2,1,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,1,45,2,1,1,1,0
0,2,1,0,0,1,0,3,2,0,1,1,1,30,2,0,1,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,30,2,1,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,1,40,2,2,1,1,0
0,1,1,0,0,0,0,3,2,0,0,1,1,25,2,0,1,2,1
0,2,2,1,0,0,0,3,2,0,1,1,1,65,2,2,1,1,0
0,2,2,1,0,0,0,3,2,0,1,1,1,45,2,0,1,2,1
0,2,2,1,0,1,0,3,0,0,0,0,1,30,2,0,1,1,1
1,2,1,0,0,1,0,3,0,0,1,1,1,25,2,0,1,2,1
0,2,1,1,0,1,0,3,0,0,0,0,1,35,2,0,1,2,0
0,2,2,1,0,1,0,3,0,0,1,0,1,45,2,0,1,2,0
0,2,1,0,0,0,0,3,0,0,1,1,1,45,2,1,1,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,30,2,1,3,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,30,2,2,3,2,0
0,2,1,1,1,0,1,3,2,0,1,1,0,45,9,2,3,1,0
1,2,1,1,0,1,0,3,2,0,1,1,0,30,2,1,3,1,1
0,2,1,0,0,1,0,3,2,0,1,1,0,35,2,1,3,1,0
0,2,2,0,0,1,1,3,2,0,1,1,0,40,2,0,3,1,0
1,2,1,0,0,1,0,3,2,0,1,1,0,40,2,2,3,1,0
0,2,1,0,0,1,0,3,2,0,1,1,0,55,2,2,3,2,0
0,2,1,0,0,1,0,3,0,0,0,0,0,35,2,0,3,1,0
1,2,1,1,0,1,0,3,2,0,1,1,0,15,2,0,3,2,0
1,2,1,0,0,0,0,3,2,0,1,1,0,10,2,2,3,1,1
0,2,1,1,0,0,0,3,2,0,1,1,0,35,2,1,2,1,1
1,2,1,1,0,0,0,3,2,0,1,1,0,35,2,1,2,1,1
0,1,1,0,0,1,0,3,2,0,1,1,0,25,2,1,2,2,0
0,2,1,0,0,0,0,3,2,0,1,1,0,40,2,0,2,2,1
0,1,1,1,0,0,0,3,0,0,0,0,0,25,2,0,2,2,0
0,2,1,0,1,1,1,3,0,0,0,0,0,45,2,2,2,2,1
0,2,1,0,0,0,0,3,2,0,1,1,0,45,2,1,2,1,1
1,2,1,0,0,1,0,3,2,0,1,1,0,45,2,1,2,2,0
1,2,1,0,0,1,1,3,2,0,0,1,0,60,2,0,2,1,0
1,1,1,1,0,0,0,3,2,0,1,1,0,45,2,1,2,2,1
0,2,2,0,0,1,0,3,2,0,1,1,0,65,2,0,2,1,1
0,2,1,1,0,0,1,3,0,0,0,0,0,65,2,0,2,2,1
0,2,1,1,0,1,1,3,0,0,0,0,0,65,2,0,2,2,0
0,2,1,0,0,1,1,3,2,0,0,1,0,55,2,0,2,2,1
0,2,1,1,0,0,0,3,2,0,1,1,0,45,2,1,2,1,1
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,1,2,1,0
0,2,1,0,0,1,0,3,2,0,1,1,0,45,2,1,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,0,55,2,0,2,1,1
1,2,1,0,0,1,1,3,2,0,0,1,0,55,2,0,2,1,1
0,2,1,1,0,1,0,3,2,0,1,1,0,35,2,1,2,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,40,2,1,2,2,1
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,1,2,2,1
0,2,1,0,0,0,1,3,2,0,0,1,0,65,2,0,2,2,0
1,2,1,0,0,0,0,3,2,0,1,1,0,50,2,1,2,2,0
0,2,1,1,0,0,0,3,2,0,0,1,0,55,2,0,2,2,1
0,2,1,0,0,1,1,3,2,0,0,1,0,55,2,0,2,2,1
1,2,1,1,0,1,1,3,2,0,0,1,0,60,2,0,2,2,1
0,2,1,1,0,1,0,3,0,1,1,1,0,35,2,2,2,1,1
0,2,1,0,0,1,1,3,0,0,0,0,0,55,2,0,2,2,1
0,2,1,0,0,1,1,3,0,0,0,1,0,60,2,0,2,2,0
1,2,2,0,1,1,0,3,2,0,0,1,0,45,2,2,2,1,0
0,2,2,0,0,1,1,3,2,0,0,1,0,55,2,0,2,2,0
0,2,1,1,0,0,0,3,2,0,1,1,0,35,2,1,2,1,1
1,2,1,0,0,0,0,3,2,0,1,1,0,45,2,1,2,1,1
0,2,1,0,0,1,0,3,2,0,1,1,0,50,2,1,2,1,1
0,1,1,1,0,1,0,3,2,0,1,1,0,50,2,2,2,1,0
0,2,2,0,0,0,1,3,2,0,0,1,0,55,2,0,2,1,1
0,1,1,1,0,0,0,3,2,0,1,1,0,55,2,1,2,1,0
1,2,1,1,0,1,0,3,2,0,1,1,0,40,2,0,2,2,1
0,1,1,1,0,0,0,3,2,0,1,1,0,45,2,1,2,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,45,2,0,2,2,1
0,2,1,0,0,1,1,3,2,0,0,1,0,55,2,0,2,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,55,2,1,2,2,0
1,2,1,0,0,1,0,3,2,0,1,1,0,40,2,2,2,1,0
0,2,1,1,0,1,0,3,2,0,0,1,0,55,2,2,2,1,1
1,2,1,1,0,1,1,3,2,0,0,1,0,55,2,0,2,2,0
0,1,1,1,0,0,1,3,2,0,0,1,0,60,2,0,2,2,1
1,2,1,0,0,1,0,3,0,1,0,1,0,35,2,0,2,1,1
1,2,1,1,0,0,0,3,0,0,1,0,0,40,2,1,2,1,1
1,2,1,0,0,0,0,3,0,1,0,1,0,40,2,1,2,1,1
0,2,1,1,0,1,0,3,0,0,0,0,0,45,2,0,2,1,0
0,2,1,0,0,1,0,3,0,1,0,0,0,65,2,0,2,1,1
1,2,1,0,0,1,0,3,0,1,1,1,0,40,2,0,2,2,1
0,2,1,0,0,1,1,3,0,0,0,0,0,55,2,0,2,2,0
0,2,1,1,0,1,0,3,0,0,1,0,0,55,2,0,2,2,0
0,2,1,1,0,1,1,3,0,0,1,1,0,60,2,0,2,2,1
1,2,1,1,0,1,0,3,0,0,0,0,0,60,2,0,2,2,0
0,2,1,1,0,1,1,3,0,0,0,0,0,65,2,0,2,2,0
1,2,1,0,0,1,0,3,2,0,1,1,0,45,2,0,2,2,0
0,2,1,0,0,1,0,3,2,0,1,1,0,35,2,2,2,1,1
1,2,1,1,0,1,0,3,2,0,1,1,0,40,2,0,2,1,1
0,2,1,1,0,1,0,3,2,0,1,1,0,45,2,1,2,1,1
0,1,2,0,0,1,0,3,2,0,1,1,0,35,2,2,2,2,1
0,2,2,0,0,1,0,3,2,0,1,1,0,40,2,0,2,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,55,2,1,2,2,1
0,2,1,1,0,1,0,3,1,0,1,1,0,35,2,1,2,2,1
1,2,1,1,0,0,0,3,2,0,1,1,0,30,2,1,2,2,1
1,2,1,1,0,1,0,3,2,0,1,1,0,35,2,0,2,2,1
0,2,1,0,0,1,1,3,2,0,1,1,0,55,2,0,2,2,1
0,1,1,0,0,0,0,3,0,0,0,0,0,35,2,0,2,1,1
1,2,1,1,0,1,0,3,0,0,0,0,0,35,2,0,2,1,1
0,2,1,1,0,1,0,3,0,0,0,0,0,35,2,0,2,1,0
0,2,1,0,0,1,0,3,0,1,1,1,0,25,2,1,2,2,1
0,2,2,0,0,1,0,3,0,0,0,0,0,35,2,0,2,2,0
0,2,2,1,0,0,0,3,0,0,1,0,0,35,2,0,2,2,0
0,2,1,1,0,1,0,3,0,0,1,0,0,40,2,2,2,2,0
0,2,1,1,0,0,0,3,0,0,0,0,0,55,2,0,2,2,1
0,2,1,1,0,1,0,3,0,0,1,0,0,60,2,0,2,2,0
1,2,1,0,0,1,1,3,0,0,1,0,0,65,2,0,2,2,1
0,2,1,1,0,1,0,3,0,0,0,0,0,65,2,0,2,2,0
1,2,1,1,0,0,0,3,2,0,1,1,0,40,2,0,1,1,0
0,2,1,0,0,1,0,3,2,0,0,1,0,25,2,0,1,2,1
0,2,2,0,0,1,0,3,2,0,1,1,0,45,2,2,1,2,0
0,2,2,1,0,1,0,3,0,0,0,0,0,20,2,0,1,1,0
0,2,2,1,0,1,0,3,0,0,0,0,0,25,2,0,1,1,0
0,1,1,1,0,1,0,3,0,0,1,0,0,35,2,2,1,1,1
0,1,1,1,0,0,0,3,0,0,1,0,0,25,2,2,1,2,1
0,2,1,0,0,1,0,3,0,1,1,1,0,30,2,1,1,2,1
1,1,1,1,0,0,0,3,0,0,0,0,0,30,2,0,1,2,0
1,2,1,0,0,0,0,3,0,1,1,1,0,40,2,2,1,2,1
0,2,1,1,0,1,0,3,2,0,0,1,0,45,2,0,1,2,1
0,1,1,1,0,0,0,3,2,0,1,1,0,40,2,1,1,1,1
0,2,1,0,0,1,0,3,2,0,1,1,0,35,9,0,1,1,0
1,2,1,0,0,1,0,3,2,0,1,1,0,35,2,0,1,1,0
0,2,1,1,0,0,0,3,2,0,1,1,0,35,2,1,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,35,2,1,1,2,0
0,2,1,1,0,0,0,3,2,0,1,1,0,40,2,0,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,45,2,1,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,45,2,1,1,2,0
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,0,1,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,50,2,1,1,2,0
1,2,1,0,0,1,0,3,2,0,0,1,0,45,2,0,1,1,0
0,2,1,0,0,0,0,3,2,0,1,1,0,40,2,1,1,2,1
0,2,1,0,0,1,0,3,2,0,1,1,0,45,2,1,1,2,1
1,2,1,0,0,0,0,3,0,1,0,1,0,35,2,0,1,1,1
0,2,1,0,0,1,0,3,2,0,1,1,0,30,2,0,1,1,0
1,2,1,0,0,1,0,3,2,0,0,1,0,30,2,0,1,2,0
0,2,2,0,0,1,0,3,2,0,0,1,0,30,2,0,1,1,0
1,1,1,1,0,0,0,3,2,0,1,1,0,35,2,2,1,1,1
0,1,1,1,0,1,0,3,2,0,1,1,0,35,2,0,1,1,0
1,2,1,1,0,0,0,3,2,0,1,1,0,25,2,1,1,2,1
0,2,1,0,0,1,0,3,2,0,1,1,0,30,2,1,1,2,0
0,2,1,0,0,1,0,3,2,0,1,1,0,35,2,1,1,2,0
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,0,1,2,1
0,2,1,1,0,0,0,3,1,0,1,1,0,35,2,1,1,1,1
0,2,2,1,0,0,0,3,2,0,1,1,0,35,2,1,1,1,1
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,0,1,2,1
0,2,1,1,0,0,0,3,2,0,0,1,0,45,2,0,1,2,0
1,1,2,1,0,0,0,3,0,0,0,0,0,45,2,0,1,1,0
0,2,2,0,0,0,0,3,0,0,0,0,0,50,2,0,1,1,1
0,2,1,1,0,1,0,3,0,0,0,1,0,50,2,0,1,1,0
1,2,1,0,0,0,0,3,0,1,0,1,0,25,2,0,1,2,1
1,2,1,0,0,1,0,3,0,1,1,1,0,35,2,1,1,2,1
0,1,1,0,0,0,0,3,0,0,1,0,0,35,2,1,1,2,0
0,1,1,1,0,0,0,3,0,0,0,0,0,35,2,2,1,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,30,2,1,1,1,1
0,2,1,0,0,1,0,3,2,0,1,1,0,30,2,1,1,1,0
1,2,1,1,0,1,0,3,2,0,1,1,0,25,2,0,1,2,1
0,1,1,0,0,1,0,3,2,0,1,1,0,35,2,1,1,2,1
0,1,1,1,0,1,0,3,2,0,1,1,0,35,2,1,1,2,0
0,2,1,0,0,1,0,3,2,0,1,1,0,35,2,1,1,1,1
0,1,1,1,0,1,0,3,2,0,1,1,0,35,2,1,1,1,1
0,2,2,1,0,0,0,3,2,0,1,1,0,40,2,1,1,2,1
0,2,1,0,0,0,0,3,0,1,1,1,0,35,2,1,1,1,1
0,2,1,1,0,0,0,3,0,0,1,0,0,40,2,0,1,2,0
0,1,1,1,0,1,0,3,2,0,1,1,0,25,2,2,1,1,0
0,1,1,1,0,0,0,3,2,0,1,1,0,30,2,2,1,1,1
0,1,1,1,0,0,0,3,2,0,1,1,0,35,2,1,1,1,1
1,2,1,0,0,1,0,3,2,0,1,1,0,40,2,0,1,1,1
0,1,1,0,0,1,0,3,2,0,1,1,0,25,2,1,1,2,1
0,2,1,1,0,1,0,3,2,0,1,1,0,25,2,2,1,2,1
1,2,1,0,0,1,0,3,2,0,1,1,0,25,2,0,1,2,1
1,2,1,0,0,1,0,3,2,0,1,1,0,25,2,2,1,2,0
0,2,1,1,0,0,0,3,2,0,1,1,0,30,2,1,1,2,1
1,2,1,0,0,1,0,3,2,0,1,1,0,30,2,1,1,2,0
1,2,1,0,0,1,0,3,2,0,1,1,0,30,2,2,1,2,0
0,2,1,1,0,1,0,3,2,0,1,1,0,30,2,2,1,2,0
1,2,1,1,0,1,0,3,2,0,1,1,0,35,2,1,1,2,1
1,2,1,0,0,0,0,3,2,0,1,1,0,35,2,1,1,2,0
0,2,1,0,0,0,0,3,2,0,1,1,0,35,2,1,1,2,0
0,2,1,1,0,0,0,3,1,0,1,1,0,30,2,0,1,2,1
1,2,2,1,0,1,0,3,1,0,0,1,0,35,2,0,1,2,1
1,1,1,1,0,0,0,3,2,0,1,1,0,25,2,1,1,2,1
0,2,1,0,0,1,0,3,2,0,1,1,0,25,2,0,1,2,1
1,1,1,1,0,1,0,3,2,0,1,1,0,25,2,1,1,2,1
0,2,1,0,0,1,0,3,2,0,0,1,0,30,2,0,1,2,0
0,2,1,1,0,0,0,3,2,0,1,1,0,35,2,1,1,2,1
0,1,1,0,0,1,0,3,2,0,1,1,0,35,2,1,1,2,1
1,2,1,1,0,1,0,3,2,0,1,1,0,45,2,0,1,2,0
0,1,1,0,0,1,0,3,0,0,0,0,0,25,2,0,1,1,0
0,1,1,1,0,1,0,3,0,0,0,0,0,30,2,0,1,1,0
0,1,1,1,0,0,0,3,0,0,1,0,0,30,2,2,1,1,0
0,2,1,0,0,1,0,3,0,0,1,1,0,35,9,0,1,1,1
0,2,1,1,0,0,0,3,0,0,0,0,0,35,2,0,1,1,0
0,2,1,1,0,0,0,3,0,0,0,0,0,35,2,0,1,1,0
0,1,1,0,0,0,0,3,0,0,1,1,0,40,2,2,1,1,1
0,2,1,0,0,1,0,3,0,0,0,1,0,50,2,0,1,1,0
0,2,1,0,0,1,0,3,0,0,0,1,0,55,2,0,1,1,0
0,2,1,0,0,0,0,3,0,1,0,1,0,10,2,0,1,2,1
0,1,1,0,0,1,0,3,0,1,1,1,0,25,2,0,1,2,1
0,1,1,1,0,1,0,3,0,0,0,0,0,25,2,0,1,2,0
0,1,1,1,0,1,0,3,0,0,0,0,0,25,2,0,1,2,0
0,2,1,1,0,1,0,3,0,0,1,0,0,30,2,0,1,2,1
1,2,1,0,0,1,0,3,0,1,1,1,0,30,2,1,1,2,1
0,2,1,0,0,0,0,3,0,0,0,0,0,30,2,0,1,2,0
0,2,2,1,0,1,0,3,0,0,0,0,0,30,2,0,1,2,0
1,2,1,1,0,1,0,3,0,0,0,0,0,30,2,0,1,2,0
0,2,1,0,0,1,0,3,0,1,1,1,0,35,2,1,1,2,1
0,2,1,1,0,0,0,3,0,0,0,0,0,35,2,0,1,2,1
1,2,1,0,0,1,0,3,0,1,1,1,0,35,2,1,1,2,1
0,1,1,0,0,0,0,3,0,0,1,0,0,35,2,0,1,2,1
0,2,1,1,0,1,0,3,0,0,1,0,0,35,2,1,1,2,0
0,2,2,1,0,1,0,3,0,0,0,0,0,40,2,0,1,2,1
0,2,2,1,0,1,0,3,0,0,0,0,0,40,2,0,1,2,0
0,2,1,1,0,1,0,3,0,0,0,0,0,45,2,0,1,2,1
0,1,2,1,0,1,0,3,0,0,0,0,0,45,2,0,1,2,0
0,1,1,0,0,0,0,3,0,0,0,0,1,55,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,1
0,2,1,0,0,0,0,3,2,0,1,1,1,45,1,1,2,1,0
0,2,2,1,0,0,0,3,0,0,1,0,1,45,1,0,2,1,1
1,2,1,0,0,1,0,3,2,0,1,1,1,55,1,1,2,1,1
1,2,2,0,0,0,0,3,0,0,0,0,1,55,1,0,2,1,1
0,2,1,1,1,1,0,3,0,0,0,0,1,40,1,2,2,1,0
1,2,1,1,0,1,0,3,2,0,0,1,1,30,1,0,1,1,1
0,2,1,0,0,1,0,3,0,1,1,1,1,25,1,2,1,1,1
1,1,1,1,0,1,0,3,2,0,1,1,1,35,1,1,1,1,1
0,2,2,0,0,1,0,3,2,0,0,1,1,40,1,0,1,1,0
0,1,1,1,0,0,0,3,2,0,0,1,1,45,1,0,1,1,1
1,2,1,0,0,1,0,3,2,0,1,1,1,30,1,0,1,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,35,1,2,1,1,1
0,2,1,1,0,1,0,3,2,0,1,1,1,45,1,2,1,1,0
1,2,1,1,0,1,0,3,2,0,0,1,1,55,1,0,1,1,1
0,2,1,1,0,0,0,3,2,0,1,1,1,35,1,1,1,1,0
0,2,1,1,0,0,0,3,0,0,1,0,1,20,1,0,1,1,1
0,1,1,1,0,1,0,3,0,0,0,0,1,30,1,0,1,1,1
0,1,1,0,0,0,0,3,1,0,0,1,1,15,1,0,3,1,1
1,2,1,0,0,1,0,3,2,0,1,1,1,25,1,1,3,1,0
0,1,2,1,0,0,0,3,2,0,1,1,1,35,1,2,3,1,1
0,2,2,1,0,0,0,3,0,0,1,0,1,35,1,0,3,1,1
0,2,1,0,0,0,0,3,2,0,0,1,1,30,1,0,3,1,1
1,2,1,0,0,1,0,3,2,0,0,1,1,45,1,0,3,1,0
0,2,2,1,0,0,1,3,0,0,1,0,1,60,1,0,3,1,0
1,2,1,1,0,0,0,3,2,0,1,1,1,45,1,2,3,1,1
1,2,2,0,0,1,1,3,2,0,1,1,1,65,1,1,3,1,0
0,2,2,1,0,1,1,3,0,0,1,0,1,45,1,0,3,1,1
0,2,2,0,0,1,1,3,0,0,1,1,1,65,1,0,3,1,1
0,2,1,0,1,0,1,3,2,0,0,1,1,45,1,2,2,1,0
1,2,1,0,0,1,0,3,2,0,0,1,1,50,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
1,2,1,0,1,1,1,3,2,0,0,1,1,55,1,2,2,1,0
0,1,1,0,0,1,0,3,2,0,1,1,1,15,1,1,2,1,1
0,2,1,0,0,0,0,3,2,0,1,1,1,35,1,0,2,1,0
0,2,2,1,0,1,0,3,2,0,1,1,1,40,1,2,2,1,1
1,2,1,1,0,0,0,3,2,0,1,1,1,40,1,1,2,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,45,1,0,2,1,0
0,1,1,0,0,0,0,3,2,0,1,1,1,35,1,1,2,1,1
1,1,2,0,0,0,0,3,0,1,0,1,1,35,1,0,2,1,1
0,2,1,0,0,0,0,3,0,0,1,1,1,35,1,1,2,1,1
0,1,1,0,0,1,0,3,0,1,1,1,1,45,1,1,2,1,1
0,2,1,0,0,1,1,3,0,0,0,0,1,55,1,0,2,1,1
0,1,1,1,0,0,0,3,0,0,1,0,1,55,1,0,2,1,0
0,2,1,1,0,0,0,3,0,0,0,0,1,60,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,60,1,0,2,1,0
0,1,1,1,0,1,0,3,2,0,0,1,1,65,1,0,2,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,35,1,1,2,1,1
0,1,1,1,0,0,1,3,2,0,0,1,1,65,1,0,2,1,0
1,2,1,1,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
1,2,1,0,0,1,1,3,2,0,0,1,1,60,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,65,1,0,2,1,1
1,2,2,1,0,1,0,3,2,0,1,1,1,40,1,1,2,1,1
0,1,1,1,0,0,0,3,2,0,1,1,1,45,1,1,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
1,2,1,1,0,1,0,3,2,0,0,1,1,55,1,0,2,1,1
0,2,1,0,0,0,1,3,2,0,0,1,1,65,1,0,2,1,0
0,1,1,1,0,1,1,3,0,0,0,0,1,60,1,0,2,1,1
0,2,1,0,0,1,1,3,0,0,0,0,1,60,1,0,2,1,0
0,1,1,1,0,0,1,3,0,0,0,0,1,65,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,1
0,1,1,1,0,0,1,3,2,0,0,1,1,55,1,0,2,1,1
1,2,2,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
0,2,1,0,0,0,0,3,2,0,1,1,1,35,1,1,2,1,1
1,2,1,0,0,0,0,3,2,0,1,1,1,45,1,1,2,1,1
1,1,1,1,0,1,0,3,2,0,1,1,1,45,1,0,2,1,1
1,2,1,1,0,1,0,3,2,0,1,1,1,45,1,1,2,1,0
0,2,1,0,0,1,0,3,2,0,1,1,1,35,1,0,2,1,1
1,2,1,0,0,1,0,3,2,0,0,1,1,35,1,0,2,1,0
0,2,2,1,0,1,0,3,2,0,0,1,1,40,1,2,2,1,1
0,2,1,1,0,0,0,3,2,0,0,1,1,40,1,0,2,1,0
0,2,1,0,0,1,0,3,2,0,1,1,1,45,1,1,2,1,1
1,2,1,0,0,1,0,3,2,0,1,1,1,50,1,1,2,1,0
0,2,1,0,1,1,0,3,2,0,0,1,1,55,1,2,2,1,1
0,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,1
0,2,1,1,0,0,0,3,2,0,0,1,1,55,1,0,2,1,0
1,2,1,0,0,1,1,3,2,0,0,1,1,55,1,0,2,1,0
1,2,1,0,0,1,1,3,2,0,0,1,1,60,1,0,2,1,0
1,2,2,1,0,1,0,3,0,0,1,0,1,45,1,1,2,1,1
1,2,1,1,0,1,0,3,0,0,0,0,1,45,1,0,2,1,1
0,2,2,0,0,0,0,3,0,0,0,0,1,45,1,0,2,1,0
0,2,2,1,0,1,1,3,0,0,0,1,1,55,1,2,2,1,1
1,2,1,0,0,1,0,3,2,0,1,1,1,40,1,1,2,1,0
0,2,1,0,0,1,0,3,2,0,1,1,1,30,1,1,2,1,1
0,2,2,0,0,1,0,3,2,0,1,1,1,30,1,1,2,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,40,1,0,2,1,0
1,2,1,1,0,1,0,3,2,0,1,1,1,50,1,1,2,1,0
1,2,1,0,0,1,0,3,2,0,1,1,1,30,1,0,2,1,1
0,1,1,1,0,0,0,3,2,0,1,1,1,30,1,1,2,1,1
0,2,1,1,1,1,0,3,2,0,0,1,1,35,1,0,2,1,1
1,2,1,1,0,1,0,3,2,0,1,1,1,35,1,1,2,1,1
0,1,1,0,0,0,0,3,2,0,1,1,1,40,1,1,2,1,0
0,2,1,0,0,1,0,3,0,0,1,0,1,30,1,1,2,1,1
0,2,1,1,0,1,0,3,0,0,0,0,1,35,1,0,2,1,1
0,2,1,1,0,1,0,3,0,0,0,0,1,40,1,0,2,1,1
